DateTime;Open;High;Low;Close;Volume
2015-02-08;228.8;232.9;221.1;223.85;26127.263547319413
2015-02-09;224.13;225.98;215.33;220.48;48175.34835692046
2015-02-10;220.48;223.88;214.0;220.87;29287.58484414857
2015-02-11;220.75;224.4;218.1;219.8;19279.645342390108
2015-02-12;219.8;223.2;217.8;222.39;19995.20975134001
2015-02-13;222.56;242.5;221.46;236.13;68319.49565944127
2015-02-14;235.8;261.3;235.51;257.0;80559.73017417082
2015-02-15;257.01;268.54;228.2;235.88;103145.29817953047
2015-02-16;235.34;243.65;228.62;233.5;47236.52233565056
2015-02-17;233.5;246.28;231.5;244.0;40898.785943849376
2015-02-18;243.82;244.99;231.01;236.26;39347.85942677046
2015-02-19;236.27;243.42;234.97;240.0;23847.93733587993
2015-02-20;240.2;248.98;238.95;244.5;31341.127210038554
2015-02-21;244.51;247.73;243.28;245.54;16187.366900330353
2015-02-22;245.53;247.78;232.1;236.5;33576.50106107948
2015-02-23;236.5;241.0;232.61;239.4;23852.27131740998
2015-02-24;239.33;240.99;236.7;239.73;16615.814560590126
2015-02-25;239.95;240.83;235.53;237.99;13529.62773046994
2015-02-26;237.98;238.33;233.62;236.93;18687.246865810048
2015-02-27;236.93;262.8;236.64;255.05;69855.1332943701
2015-02-28;255.06;257.4;251.25;255.7;17286.145573950154
2015-03-01;255.7;266.91;245.65;262.4;47597.424668190695
2015-03-02;262.47;279.61;258.98;277.41;67168.44049787991
2015-03-03;277.3;294.0;267.04;283.75;81226.39829686015
2015-03-04;283.8;285.99;267.0;273.33;71521.58776592951
2015-03-05;272.92;284.99;262.0;277.69;66108.88463391214
2015-03-06;277.69;279.75;268.8;273.36;40276.57196985037
2015-03-07;273.27;280.76;270.55;276.97;22856.94560365982
2015-03-08;276.98;278.68;271.61;275.59;13853.794890260098
2015-03-09;275.58;295.0;275.01;291.0;62908.377680121535
2015-03-10;291.04;303.96;289.03;292.62;67389.78219450002
2015-03-11;292.64;298.75;291.0;296.6;25811.47179038964
2015-03-12;296.52;298.8;291.04;295.55;27275.117559379472
2015-03-13;295.52;295.91;282.13;283.18;46670.67482155002
2015-03-14;283.18;287.6;281.36;282.6;23011.197460899893
2015-03-15;282.54;287.8;281.59;286.9;13427.56794899032
2015-03-16;286.71;295.2;286.45;291.22;22313.424618658897
2015-03-17;291.24;292.9;281.56;285.25;22235.369854520162
2015-03-18;285.11;285.25;248.0;257.21;89923.41572829925
2015-03-19;257.2;269.5;246.98;261.98;78451.53717571993
2015-03-20;261.7;267.0;259.36;262.19;16197.477967690093
2015-03-21;262.18;263.01;255.1;260.47;15082.649219000163
2015-03-22;260.6;270.8;259.74;268.82;18263.490755229977
2015-03-23;268.6;271.5;262.0;267.23;23532.384930219596
2015-03-24;267.31;268.4;241.39;246.0;64117.869871471376
2015-03-25;246.0;250.95;235.7;246.29;53254.53178151114
2015-03-26;246.29;255.0;244.5;249.33;33260.96841260913
2015-03-27;249.21;250.45;245.23;246.5;22731.111935799636
2015-03-28;246.5;255.96;246.49;252.95;17724.68773237022
2015-03-29;252.9;253.01;238.89;242.74;31825.768349268736
2015-03-30;242.9;250.98;236.24;247.93;30725.359919839062
2015-03-31;247.93;248.8;242.0;244.51;22340.601946700015
2015-04-01;244.56;248.71;239.21;246.93;23555.269575339462
2015-04-02;247.07;254.94;243.0;253.23;26215.54310422994
2015-04-03;253.33;256.49;250.31;254.24;28294.992817099588
2015-04-04;254.24;255.7;250.32;253.6;9458.996558880082
2015-04-05;253.7;261.25;251.55;260.5;23998.874494599957
2015-04-06;260.75;262.45;253.4;255.73;20821.287882050034
2015-04-07;255.62;257.9;253.01;253.7;10602.252119890058
2015-04-08;253.7;254.99;242.72;244.92;39627.091426250045
2015-04-09;244.94;246.79;236.5;243.58;22642.235553089664
2015-04-10;243.56;243.74;230.75;236.12;37332.556956169996
2015-04-11;236.12;240.58;233.72;236.86;17745.943558390147
2015-04-12;236.83;238.7;232.38;236.38;10100.95286180002
2015-04-13;236.21;237.7;220.14;224.9;47137.09401198017
2015-04-14;224.9;225.75;216.37;220.16;40768.8300318196
2015-04-15;220.1;224.75;219.01;223.98;24034.52460674001
2015-04-16;223.8;230.0;223.01;228.14;28949.227537569797
2015-04-17;228.23;228.98;219.58;222.4;27060.860746099916
2015-04-18;222.39;224.16;219.94;223.08;11898.008681010037
2015-04-19;223.23;227.0;222.1;222.16;17571.785468450107
2015-04-20;222.28;227.0;221.24;224.21;19932.04806584988
2015-04-21;224.21;236.99;224.16;236.96;31768.4230911101
2015-04-22;236.18;238.99;232.0;234.14;22065.58915187983
2015-04-23;234.35;237.22;233.0;236.01;8848.921208240048
2015-04-24;235.82;236.51;228.7;231.38;22481.38342875968
2015-04-25;231.21;232.7;225.35;226.01;13390.728758350093
2015-04-26;226.1;226.84;213.92;219.7;40909.656498319404
2015-04-27;219.73;232.49;218.24;226.91;35237.99532263983
2015-04-28;227.44;228.05;222.16;225.3;17189.697328670067
2015-04-29;225.3;227.8;222.66;225.23;12204.237091900035
2015-04-30;225.56;240.89;224.63;236.11;41361.85775564005
2015-05-01;236.18;239.25;231.26;231.78;17016.639858930033
2015-05-02;231.75;235.79;231.75;234.81;8932.200581869994
2015-05-03;234.76;243.73;233.75;240.57;19159.47837938006
2015-05-04;240.69;243.6;236.98;238.54;24658.093285310017
2015-05-05;238.68;239.49;231.05;235.87;26115.907707628732
2015-05-06;235.85;236.75;226.42;229.27;47524.99716568956
2015-05-07;229.04;239.79;227.81;237.3;27216.12711777937
2015-05-08;237.3;249.22;236.2;244.5;31065.29966056905
2015-05-09;244.52;249.21;240.1;242.54;19372.31104584986
2015-05-10;242.53;245.95;238.79;240.73;11933.406653510014
2015-05-11;240.8;245.49;238.5;242.46;15989.07724903009
2015-05-12;242.44;244.67;240.86;241.92;13639.32470388002
2015-05-13;242.01;245.0;234.22;235.7;27912.305639229882
